Дата;Время;ОРУ;Напряжение;Оборудование;Тип оборудования;Параметр;Значение;Норма;Статус;Комментарии
24.08.2025;23:33;ОРУ-35;35;2ТСН;POWER_TRANSFORMER;Уровень масла РУМ;;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;2ТСН;POWER_TRANSFORMER;Температура ТС;;<85;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;3ТСН;POWER_TRANSFORMER;Уровень масла РУМ;1;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;3ТСН;POWER_TRANSFORMER;Температура ТС;1;<85;⚠️ Не норма;
24.08.2025;23:33;ОРУ-35;35;4ТСН;POWER_TRANSFORMER;Уровень масла РУМ;;-40 до +60;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;4ТСН;POWER_TRANSFORMER;Температура ТС;;<85;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.А;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.В;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 2ТСН;CURRENT_TRANSFORMER;Уровень масла ф.С;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.А;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.В;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;TT-35 3ТСН;CURRENT_TRANSFORMER;Уровень масла ф.С;;от 0,3 до 0,9;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.А;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.В;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 2ТСН;CIRCUIT_BREAKER;Уровень продувки ф.С;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.А;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.В;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;В-35 3ТСН;CIRCUIT_BREAKER;Уровень продувки ф.С;;от 0,5 до 1;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 2АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;ТН-35 3АТГ;VOLTAGE_TRANSFORMER;Уровень масла;;от -60 до 40;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Состояние трубопроводов;;исправно;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Отсутствие утечек;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Давление в системе;;норма;⚪ Не проверено;
24.08.2025;23:33;ОРУ-35;35;Трубопроводы воздушной сети ОРУ-35;BUILDING;Примечание;;;⚪ Не проверено;
